source,set_id,set_name,genes
Reactome,Reactome0023,"Extracellular matrix organization",GENE1690/GENE2822/GENE0842/GENE2018/GENE1351/GENE1859/GENE2538/GENE0613/GENE1573/GENE1604/GENE1957/GENE2488/GENE1510/GENE2463/GENE2313/GENE0118/GENE0328/GENE2026/GENE2715/GENE0115/GENE0153/GENE2298/GENE1299/GENE0754/GENE0250/GENE0456/GENE0208/GENE0760/GENE2969/GENE0968/GENE1084/GENE0067/GENE0856/GENE1203/GENE0280/GENE0358/GENE2637/GENE2335/BAX/GENE0681/GENE2702/GENE0691/GENE0545/GENE2227/GENE2235/GENE1555/GENE1579/GENE1161/GENE1993/GENE0134/GENE2242/GENE1673/GENE0581/GENE1462/GENE0055/GENE2982/GENE2527/GENE1570/GENE1804/GENE0961/GENE0875/GENE2521/GENE2851/GENE0391/GENE2880/GENE0317/GENE0254/GENE1083/GENE1674/GENE1613/GENE1563/GENE1020/GENE0927/GENE1980/GENE0604/GENE0898/GENE1553/GENE2775/GENE0768/GENE0872/GENE2166/GENE0650/GENE0609/GENE2820/GENE0894/GENE1683/GENE2855/GENE1711/GENE1681/GENE0781/GENE1679/GENE1391/GENE0099/GENE1797/GENE0913/GENE1282/GENE2550/GENE0952/GENE2345/GENE1158/GENE0804/GENE0464/GENE1924/GENE1439/GENE1978/GENE1780/GENE2995/GENE2979/GENE0111/GENE0473/GENE1019/GENE0736/GENE0035/GENE0780/GENE2844/GENE0106/GENE1323/GENE0997/GENE2213/GENE1232/GENE2312/GENE0866/GENE1275/GENE0198/GENE1334/GENE1302/GENE2062/GENE1229/GENE1699/GENE1697/GENE2627/GENE0083/GENE1849/GENE0333/GENE2373/GENE0107/GENE2061/GENE2615/GENE2035/GENE1603/GENE2614/GENE1335/GENE2263/GENE1429/GENE2543/GENE1526/GENE0855/GENE1850/GENE1115/GENE2686/GENE1304/GENE1043/GENE0340/GENE2083/GENE0988/GENE0051/GENE2862/GENE1187/GENE0303/GENE2203/GENE1785/GENE2665/GENE2536/GENE0070/GENE2354/GENE2736/GENE1857/GENE2695/GENE1754/GENE0263/GENE1511/GENE2942/GENE1139/GENE0724/GENE2283/ALB/GENE1966/GENE0757/GENE2178/GENE0344/GENE2785/GENE2585/GENE2302/GENE1080/GENE1602/GENE1314/GENE1069/GENE1518/GENE2300/GENE0859/GENE1068/GENE0904/GENE2712/GENE0191/GENE0696/GENE1292/GENE1051/GENE0740/GENE0400/GENE2234/GENE0145/GENE0293/GENE2231
Reactome,Reactome0024,"DNA Double-Strand Break Repair",GENE1618/GENE2860/GENE1897/GENE0855/GENE1393/GENE1697/GENE2209/GENE2826/GENE2435/GENE2792/GENE0953/GENE1163/GENE0843/GENE0353/GENE1583/GENE0322/GENE1560/GENE0388/GENE2603/GENE2379/GENE0813/GENE0972/GENE0049/GENE1187/GENE0261/GENE2764/GENE1801/GENE0440/GENE2297/GENE2349/GENE0735/GENE1232/GENE0341/GENE1467/GENE1139/GENE1319/GENE1540/GENE2530/GENE1078/GENE0231/GENE2897/GENE0940/GENE2118/GENE2582/GENE0982/GENE0453/GENE1094/GENE1718/GENE2752/GENE0402/GENE1701/GENE2025/GENE1112/GENE1728/GENE1668/GENE1234/GENE0474/GENE1783/GENE2309/GENE1967/GENE2481/GENE0197/GENE0766/GENE1834/GENE0952/GENE2854/GENE1921/GENE2728/GENE0683/GENE2164/GENE0944/GENE1556/GENE2544/GENE0514/GENE0283/COL1A1/GENE0191/GENE2071/GENE2883/GENE0910/GENE0265/GENE0158/GENE1081/GENE2202/GENE1309/GENE1358/GENE2905/GENE1552/GENE2150/GENE1594/GENE1828/GENE0793/GENE1856/GENE0032/GENE2680/GENE0969/GENE1371/GENE1052/GENE2560/GENE0624/GENE1340/GENE0115/GENE2844/GENE0909/GENE0054/GENE0304/GENE2135/GENE0268/GENE1297/GENE0834/GENE0806/GENE1069/GENE1301/GENE1891/GENE1838/GENE0207/GENE1394/GENE1186/GENE0344/GENE1608/GENE1432/GENE2840/GENE2672/GENE2786/GENE1571/GENE2335/GENE0373/GENE1654/GENE2075/GENE2675/GENE2615/GENE2479/GENE0773/GENE2733/GENE2583/GENE2396/GENE1201/GENE0368/GENE2674/GENE1984/GENE1835/GENE0517/GENE0652/GENE1844/GENE0445/GENE2511/GENE2506/GENE1417/GENE1929/GENE2683/GENE1633/GENE1596/GENE2635/GENE0754/GENE0981/GENE2399/GENE1304/GENE1810/GENE0597/GENE1088/GENE1836/GENE1005/GENE2528/GENE2260/GENE1926/GENE0685/GENE2022/GENE2223/GENE0378/GENE0360/GENE2610/GENE2398/GENE2778/GENE2303/GENE1515/GENE2382/GENE2250/GENE0891/GENE2584/GENE0983/GENE0141/GENE1576/GENE2158/GENE1261/GENE1365/GENE0166/GENE0505/GENE2857/GENE2788/GENE2998/GENE0201/GENE2861/GENE0303/GENE0484/GENE0259/GENE0637/GENE2495/GENE0181/GENE1621/GENE2011/GENE2993/GENE2520/GENE1448/GENE2621/GENE1242/GENE1588/GENE1930/GENE0964/GENE0985/GENE2831/GENE0145/GENE1593/GENE0246/GENE1881/GENE1237/GENE0215/GENE2949/GENE1282/GENE0361/GENE1376/GENE1193/GENE1369/GENE2180/GENE1103
WikiPathways,WikiPathways0025,"Apoptosis",GENE0854/GENE0975/GENE1758/GENE0884/GENE2639/GENE1964/GENE1350/GENE1392/GENE2835/GENE0404/GENE2780/GENE1741/GENE0836/GENE0279/GENE2253/GENE0367/GENE1332/GENE0070/GENE2031/GENE2733/GENE1766/GENE0771/GENE2058/GENE2987/GENE0057/GENE0388/GENE1866/GENE0062/GENE2353/GENE1927/GENE2620/GENE2055/STAT1/GENE1703/GENE2173/GENE2285/GENE1602/GENE1391/GENE2432/GENE0480/GENE0518/GENE2396/GENE2508/GENE2925/GENE0337/GENE0044/GENE0619/GENE0585/GENE0995/GENE1281/GENE2588/GENE2027/GENE1326/GENE0321/GENE1572/GENE1943/GENE2251/GENE0036/GENE0366/GENE0281/GENE1582/GENE2134/GENE1097/GENE0135/GENE1951/GENE1038/GENE1775/GENE2368/GENE1767/GENE2261/GENE1452/GENE2918/GENE1232/GENE2131/GENE0716/GENE2400/GENE1288/GENE1690/GENE0245/GENE1857/GENE0641/GENE2212/GENE2154/GENE1621/GENE0448/GENE1039/GENE1334/GENE1854/GENE1003/GENE1299/GENE0485/GENE1830/GENE0770/GENE2811/GENE2375/GENE0393/GENE1170/GENE1740/GENE1607/GENE2599/GENE1940/GENE0856/GENE1057/GENE1768/GENE0845/GENE2922/GENE1939/GENE1754/GENE1166/GENE2617/GENE1580/GENE2495/GENE1077/GENE1191/GENE2994/GENE1222/GENE2340/GENE1283/GENE0801/GENE0091/GENE1986/GENE0077/GENE1723/GENE2210/GENE0234/GENE0303/GENE1419/GENE2983/GENE1171/GENE2913/GENE1537/GENE0878/GENE0278/GENE0146/GENE2467/GENE2102/GENE2100/GENE0803/GENE0470/GENE0951/GENE0259/GENE0328/GENE0092/GENE0678/GENE0445/GENE2706/GENE1444/GENE0813/GENE1489/GENE2312/GENE2501/GENE2870/GENE0330/GENE2517/GENE1831/GENE2536/GENE2690/GENE2372/GENE2192/GENE2333/GENE1879/GENE1982/GENE1304/GENE0937/GENE0341/GENE1829/GENE0675/GENE0968/GENE2836
WikiPathways,WikiPathways0026,"Cell cycle",GENE1357/GENE1179/GENE1533/GENE2299/GENE0118/GENE1223/GENE1759/GENE2112/GENE0975/GENE0126/GENE2940/GENE1928/GENE1897/GENE1820/GENE1957/GENE2924/GENE2038/GENE2234/GENE0199/GENE2824/GENE2594/GENE1799/GENE1424/GENE1690/GENE2177/GENE1408/GENE1340/GENE2979/GENE0891/GENE1766/GENE0988/GENE2110/GENE1887/GENE1891/GENE1995/GENE2970/GENE1010/GENE0836/GENE1985/GENE2413/GENE0259/GENE1063/GENE2363/GENE0994/FOXP3/GENE2551/GENE2063/GENE1209/GENE2230/GENE0498/GENE0303/GENE0674/GENE1272/GENE2107/GENE2634/GENE2143/GENE0238/GENE0971/GENE0098/GENE0664/GENE2103/GENE0835/GENE1559/GENE2115/GENE2769/GENE2308/GENE2579/GENE2342/GENE0296/GENE1613/GENE2440/GENE2265/GENE2194/GENE0306/GENE0507/GENE2304/GENE0261/GENE0372/GENE2185/GENE2605/GENE0608/GENE0482/GENE1894/GENE0902/GENE2945/GENE0418/GENE1008/GENE2902/GENE1987/GENE2596/GENE1203/GENE2459/GENE0587/GENE0905/GENE0924/GENE2556/GENE1652/GENE2407/GENE2851/GENE1886/GENE2547/GENE1109/GENE1962/GENE0348/GENE1640/GENE1147/GENE2984/GENE0980/GENE2085/GENE2549/GENE0910/GENE1382/GENE2321/GENE0940
WikiPathways,WikiPathways0027,"TNF-alpha signaling",GENE2313/GENE1003/GENE1675/GENE1725/GENE2713/GENE0654/GENE2960/GENE2591/GENE0871/GENE1565/GENE0450/GENE1669/GENE1420/GENE2581/GENE2310/GENE2590/GENE0401/GENE1231/GENE0097/GENE0842/GENE0628/GENE2062/GENE2938/GENE0626/GENE0779/GENE2485/GENE0510/GENE2341/GENE1576/GENE2619/GENE2467/GENE2461/GENE1518/GENE0884/GENE1170/GENE1965/GENE2078/GENE0894/GENE2127/GENE1731/GENE2209/GENE1473/GENE1347/GENE1451/GENE1774/GENE0424/GENE0891/GENE2237/GENE0049/GENE2973/GENE1185/GENE0292/GENE1900/GENE2806/GENE0407/GENE2821/GENE1193/GENE1244/GENE1981/GENE1372/GENE1079/GENE1633/GENE0785/GENE1034/GENE2049/GENE0267/GENE0513/GENE2319/GENE1504/GENE0858/GENE0532/GENE2245/GENE2470/GENE2447/GENE1477/GENE1703/GENE2648/GENE1078/GENE0572/GENE1809/GENE1225/GENE2745/GENE2494/GENE2378/GENE0596/GENE0255/GENE0297/GENE2542/GENE2405/GENE0624/GENE2865/GENE0480/GENE1950/GENE2677/GENE2350/GENE2803/GENE1991/GENE1180/GENE1058/GENE2057/GENE2912/GENE1605/GENE2352/GENE1207/GENE2840/GENE2720/GENE2153/GENE2675/GENE1695/GENE1442/GENE2998/GENE2365/GENE0784/GENE1590/GENE1299/GENE1324/GENE2679/GENE2472/GENE0997/GENE0040/GENE0173/GENE0457/GENE1431/GENE0082/GENE0729/GENE2710/GENE2877/GENE2489/GENE1111/GENE1506/CD8A/GENE2797/GENE2270/GENE0955/GENE2404/MMP9/GENE1065/GENE0888/GENE0802/GENE1136/GENE1240/GENE1945/GENE2182/GENE1184/GENE0970/GENE1593/GENE0311/GENE0739/GENE0895/GENE0412/GENE1342/GENE2852/GENE1833/GENE0115/GENE0810/GENE0053/GENE0929/GENE0430/GENE1102/GENE0251/GENE2980/GENE1156/GENE2547/GENE1332/GENE2543/KRAS/GENE2974/GENE0204/GENE0481/GENE1019/GENE1038/GENE2610/GENE1228/GENE1145/GENE1626/GENE0763/GENE0231/GENE2406/GENE2124/GENE2482/GENE1822/GENE0244/GENE0277/GENE0383/GENE1055/GENE2268/GENE2706/GENE0315/GENE1692/GENE1529/GENE0979/GENE0666/GENE0386/GENE0956/GENE0674/GENE0426/GENE1793/GENE2452/GENE0741/GENE1658/GENE1770/GENE2017/GENE0788/GENE2582/GENE2400/GENE2387/GENE0102/GENE2838/GENE2682/GENE2486/GENE0476/GENE2569/GENE1353/GENE2093/GENE0484/GENE0055/GENE1627/GENE0557/GENE0062/GENE2034/GENE1054/GENE2490/GENE0651/GENE2321/GENE1467/GENE2348/GENE0950/GENE0179/GENE0962/GENE2460/GENE2191/GENE1683/GENE1109/GENE0214/GENE0125/GENE2534/GENE2800/GENE0276/GENE1919/GENE1923/GENE1691/GENE1617/GENE1371/GENE0612/GENE2579/GENE2430/GENE2011/GENE0684/GENE2136/GENE0539
WikiPathways,WikiPathways0028,"VEGFA-VEGFR2 pathway",GENE0671/GENE0779/GENE2546/GENE1480/GENE0882/GENE2211/GENE2307/GENE1644/GENE2313/GENE2897/GENE2516/GENE0670/GENE1928/GENE1782/GENE0066/GENE2761/GENE1897/GENE1964/GENE2456/GENE1993/GENE2017/GENE2547/GENE2841/GENE0459/GENE1716/GENE0769/GENE1199/GENE1432/GENE2750/GENE0705/GENE0798/GENE2298/GENE2303/SOD2/GENE1478/GENE2438/GENE1317/GENE2822/GENE0130/GENE1385/GENE2708/GENE0163/GENE1328/TP53/GENE2466/GENE1205/GENE1681/GENE1341/GENE2828/GENE2806/GENE1169/GENE1020/GENE0360/GENE0254/GENE2726/GENE2366/GENE1611/GENE0048/GENE2847/GENE2632/GENE2666/GENE1070/GENE2005/GENE1763/GENE1509/GENE2377/GENE0300/GENE1737/GENE1183/GENE1483/GENE1286/GENE2740/GENE1794/GENE1560/GENE0612/GENE2482/GENE1382/GENE2965/GENE2876/GENE0951/GENE0610/GENE2138/GENE1451/GENE2462/GENE2166/GENE2869/GENE1455/GENE0745/GENE0592/GENE1591/GENE2617/GENE1984/GENE0597/GENE1233/GENE2170/GENE2263/GENE0253/GENE0902/GENE2486/GENE0806/GENE1562/GENE2094/GENE2137/GENE1772/GENE0703/GENE0850/GENE0983/GENE2591/GENE1522/GENE1147/GENE0081/GENE1320/GENE2621/BCL2/GENE2624/GENE1295/GENE0614/GENE2433/GENE2667/GENE0634/GENE2321/GENE0792/GENE2378/GENE1384/GENE1243/GENE2865/GENE1594/GENE0520/GENE2196/GENE0529/GENE0728/GENE0236/GENE0606/GENE0746/GENE1781/GENE0469/GENE2782/GENE1618/GENE0503/GENE1433/GENE1290/GENE0834/GENE1907/GENE1284/GENE2976/GENE0557/GENE2821/GENE0249/GENE1543/GENE0316/GENE2608/GENE0959/CXCL10/GENE1846/GENE0057/GENE1221/GENE0110/GENE1095/GENE1529/GENE2347/GENE0031/GENE2468/GENE2887/GENE2798/GENE0869/GENE2239/GENE2681/GENE2497/GENE0228/GENE1002/GENE1302/GENE1196/GENE1362/GENE2829/GENE2121/GENE0160/GENE0389/GENE1686/GENE1056/GENE0218/GENE0368/GENE2194/GENE0461/GENE0659/GENE2730/GENE1369/GENE0084/GENE2958/GENE0695/GENE1410/GENE1164/GENE1588/GENE1178/GENE2732/GENE1518/GENE0209/GENE1786/GENE0654/GENE2151/GENE0558/GENE1042/GENE0335/GENE2247/GENE0865/GENE1804/GENE2431/GENE1602/GENE2832/GENE2506/GENE2049/GENE2129/GENE0326/GENE2035/GENE2171/GENE2914/GENE1263/GENE1926/GENE2962/GENE1090/GENE1762/GENE1867/GENE1818/GENE0472/GENE2709/GENE2184/GENE0411/GENE0148/GENE0479/GENE1598/GENE2201/GENE2208/GENE2221/GENE2179/GENE2891/GENE1931/GENE0693/GENE1388/GENE2878/GENE0946/GENE1556/GENE0287/GENE2098/GENE2585/GENE0615/GENE1709/GENE0611/GENE0974/GENE0624/GENE1690/GENE0662/GENE2810/GENE0604/GENE0261/GENE2627/GENE0131/GENE0583/GENE1209/GENE0450/GENE1366/MKI67/GENE2345/GENE1332/GENE0396/GENE1559/GENE0432/GENE0224/GENE1850/GENE2401/GENE2159/GENE0105/GENE0324/GENE2044/GENE1541/GENE1693/GENE2093/GENE1152/GENE0790/GENE0859/GENE0797/GENE1793/GENE0091/GENE0059/GENE0603/GENE1112/GENE1982/GENE2057/GENE0977/GENE2463/GENE2087/GENE1752/GENE1508/GENE2086
WikiPathways,WikiPathways0029,"Inflammatory Response Pathway",GENE2185/GENE2931/GENE2943/GENE0439/GENE1786/GENE1460/GENE1866/GENE2948/GENE2677/GENE0671/GENE2310/GENE2195/GENE2715/GENE1222/GENE2302/GENE0870/GENE1587/GENE1436/GENE1456/GENE2796/GENE0126/GENE2733/GENE1850/GENE0592/GENE0653/GENE1179/GENE2915/GENE2717/GENE2575/GENE2480/GENE2329/GENE1107/GENE0245/GENE0766/GENE0386/GENE2045/GENE0731/GENE2910/GENE0567/GENE1757/GENE2687/GENE1928/GENE0314/GENE0538/GENE2722/GENE1711/GENE2601/GENE1955/GENE0737/GENE2896/GENE1488/GENE2532/GENE0207/GENE1864/GENE0470/GENE0757/GENE2919/GENE1738/GENE1968/GENE1035/GENE0885/GENE1259/GENE1021/GENE1196/GENE1569/GENE0381/GENE1505/GENE1306/GENE1740/GENE1278/GENE1094/GENE0488/GENE2472/GENE0476/GENE0659/GENE0970/GENE0074/GENE2196/GENE0385/GENE0383/GENE2321/GENE2648/GENE1238/GENE2376/GENE2470/GENE1328/GENE2535/GENE1598/GENE1190/GENE2088/GENE0250/GENE2845/GENE2576/GENE0380/GENE2395/GENE1697/GENE1990/GENE0591/GENE0327/GENE0752/GENE1907/GENE2975/GENE2408/GENE2011/GENE1762/GENE2504/GENE0575/GENE0424/GENE3000/GENE1237/GENE1879/GENE2641/GENE0099/GENE0935/GENE0041/GENE0880/GENE1868/GENE2968/GENE1431/GENE0693/GENE0300/GENE1023/GENE1970/GENE0957/GENE1010/GENE2826/GENE1927/GENE0101/GENE0392/GENE0437/GENE0860/GENE1405/GENE1672/GENE0937/GENE1914/GENE0254/GENE2501/GENE0338/GENE0329/GENE1286/GENE0694/GENE1794/GENE1749/GENE2807
GSEA:H,GSEAH0030,"HALLMARK_TNFA_SIGNALING_VIA_NFKB",GENE0774/GENE2641/GENE2897/GENE2899/GENE1451/GENE1648/GENE0642/GENE1731/GENE0836/GENE2344/GENE1583/GENE0333/GENE2824/GENE0418/GENE2488/GENE1179/GENE2931/GENE2820/GENE1758/GENE2143/GENE1374/GENE1748/GENE1782/GENE1295/GENE2680/GENE2195/GENE0318/GENE1902/GENE1660/GENE1408/GENE1464/GENE0942/GENE0118/GENE1062/GENE0707/GENE1254/GENE0283/GENE1771/GENE1463/GENE0485/GENE2440/GENE0066/GENE1222/GENE0147/GENE0153/GENE1923/GENE2703/GENE0464/GENE0557/GENE2685/GENE1820/GENE1473/GENE1786/GENE0555/GENE1672/GENE1337/GENE2869/GENE0194/GENE2307/GENE1350/GENE0195/GENE1930/GENE1518/GENE1669/GENE2849/GENE1957/GENE1239/GENE1381/GENE0431/GENE1199/GENE0636/GENE2600/GENE1874/GENE1193/GENE2994/GENE1841/GENE2155/GENE0337/GENE1780/GENE0781/GENE0673/GENE2257/GENE1937/GENE0832/GENE0051/GENE1607/GENE1343/GENE0400/GENE2667/GENE2857/GENE1096/GENE1665/GENE1873/GENE1701/GENE1893/GENE2930/GENE1163/GENE1924/GENE0844/GENE0042/GENE2942/GENE2403/GENE0332/GENE1457/GENE1006/GENE1829/GENE2663/GENE2705/GENE0965/GENE2711/GENE0145/GENE0997/GENE0317/GENE1281/GENE2736/GENE1413/GENE2760/GENE0583/GENE1384/GENE2340/GENE2117/GENE1447/GENE1230/GENE0822/GENE1137/GENE2794/GENE2212/GENE0342/GENE2910/GENE0585/GENE1729/GENE1323/GENE2739/GENE0141/GENE1544/GENE1956/GENE0752/GENE2148/GENE2124/GENE1449/GENE1553/GENE0184/GENE2254/GENE1792/GENE1212/GENE0819/GENE2779/GENE0840/GENE2170/GENE1233/GENE2279/GENE2011/GENE1204/GENE2668/GENE1109/GENE2891/GENE2541/GENE1188/GENE1695/GENE1313/GENE1853/GENE2819/GENE0363/GENE1635/GENE1277/GENE2509/GENE2706/GENE1865/GENE1487/GENE1195/GENE2295/GENE2166/GENE2007/GENE2039/GENE1063/GENE1749/GENE2659/GENE2530/GENE0133/GENE0972/GENE2984/GENE0952/GENE0087/GENE1460/GENE2889/GENE2939/GENE2085/GENE1793/GENE1387/GENE1215/GENE2402/GENE1211/GENE1369/GENE0694/GENE2872/GENE0417/GENE0723/GENE1706/GENE0564/GENE0408/GENE2288/GENE2168/GENE1546/GENE0857/GENE1220/GENE2036/GENE0412/GENE0763/GENE2390/GENE1584/GENE2983/GENE2225/GENE1047/GENE1248/GENE0604/GENE1143/GENE0126/GENE0415/GENE1177/GENE2758/GENE1042/GENE2598/GENE1113/GENE1217/GENE2191/GENE0278/GENE0939/GENE2890/GENE1692/GENE1330/GENE0157/GENE1144/GENE0653/GENE1504/GENE1667/SOD2/GENE0787/GENE2053/GENE1488/GENE2830/GENE2497/GENE0452/GENE1781/GENE0755/GENE2981/GENE2666/GENE1561/TNF/GENE2025/GENE0467/GENE2649/GENE1770/GENE1628/GENE0726/GENE1954/GENE2571/GENE1894/GENE0213/GENE1125/GENE2066/GENE2818/GENE2306/GENE0173/GENE1225/GENE1875/GENE1656/GENE1974/GENE2647/GENE0236/GENE2268/FOS/GENE0786/GENE2965/GENE2579/GENE2859/GENE1438/GENE0470/GENE1847/GENE1852/GENE0220/GENE2114/GENE1702/GENE1445/GENE2223/GENE2651/GENE2157/GENE2359/GENE1728
GSEA:H,GSEAH0031,"HALLMARK_INFLAMMATORY_RESPONSE",GENE0612/GENE2437/GENE2072/GENE0404/GENE0968/GENE2612/GENE1546/GENE0628/GENE0613/GENE1758/GENE1755/GENE0871/GENE2375/GENE2926/GENE2901/GENE1081/GENE2702/GENE1964/GENE1351/GENE1877/GENE0515/GENE1477/GENE1771/GENE2062/GENE0547/GENE0855/GENE1310/GENE0642/GENE2897/GENE2924/GENE0670/GENE0382/GENE1163/GENE1988/GENE0318/GENE0707/GENE1859/GENE1660/GENE0478/GENE1204/GENE1424/GENE2820/GENE2778/GENE1941/GENE2752/GENE2014/GENE0195/GENE0356/GENE2680/GENE0120/GENE2405/GENE1741/GENE1748/GENE1970/GENE2210/GENE0905/GENE1825/GENE2355/GENE0623/GENE1937/GENE0291/GENE0208/GENE1986/GENE2075/GENE1332/GENE1166/GENE1798/GENE1030/GENE2192/GENE2124/GENE0054/GENE0609/VEGFA/GENE0712/GENE0284/GENE2434/GENE1738/GENE0437/GENE0821/GENE2269/GENE1572/GENE1720/GENE1169/GENE1487/GENE2581/GENE2796/GENE0483/GENE0299/GENE2163/GENE1122/GENE1435/GENE1047/GENE1193/GENE0540/GENE1057/GENE0377/GENE2206/GENE1908/GENE1889/GENE1907/GENE2645/GENE0466/GENE0687/GENE2273/GENE1390/GENE2902/GENE0142/GENE0282/FOS/GENE2250/GENE0572/GENE2697/GENE1784/GENE0735/GENE1656/GENE2534/GENE0594/GENE1054/GENE2666/GENE0079/GENE1040/GENE2068/GENE2770/GENE0118/GENE0655/GENE2321/GENE0875/GENE1790/GENE0210/GENE1049/GENE0638/IFNG/GENE2295/GENE0823/GENE1077/GENE1284/GENE0489/GENE2436/GENE1921/GENE2019/GENE1513/GENE0130/GENE1194/GENE1408/GENE1582/GENE1239/GENE2771/GENE2840/GENE1797/GENE2394/GENE0071/GENE2971/GENE1092/GENE2214/GENE0129/GENE0438/NFKB1/GENE1835/GENE0149/GENE2453/GENE2417/GENE0388/GENE1750/GENE2766/GENE1870/GENE2347/GENE2345/GENE1328/GENE1675/GENE0804/GENE2272/GENE1347/GENE0393/GENE2470/GENE0203/GENE2187/GENE0440/GENE2262/GENE0400/GENE0233/GENE2930/GENE2604/GENE1112/GENE1531/GENE2200/GENE2713/GENE2267/GENE1467/GENE0914/GENE0241/GENE0311/GENE1378/GENE1658/GENE2740/GENE2739/GENE0147/GENE1983/GENE1340/GENE1370/GENE1594/GENE0379/GENE1928/INS/GENE0274/GENE0116/GENE1802/GENE1475/GENE2172/GENE2692/GENE1945/GENE0163/GENE1686/GENE1315/GENE1048/GENE2907/GENE2481/GENE1824/GENE0111/GENE0223/GENE2552/GENE0565/GENE0191/GENE0911/GENE0423/GENE0067/GENE0907/GENE0434/GENE2964/GENE0545/GENE0403/GENE2224/GENE1623/GENE0697/GENE1461/GENE2661/GENE2037/GENE2450/GENE2738/GENE2503/GENE0826/GENE0327/GENE1494/GENE0774/GENE2870/GENE2852/GENE2776/GENE0416/GENE2474
GSEA:H,GSEAH0032,"HALLMARK_HYPOXIA",GENE0812/GENE0610/GENE1488/GENE1530/GENE0571/GENE0823/GENE0066/GENE2110/GENE2143/GENE0153/GENE1859/GENE0824/GENE0629/GENE2078/GENE1665/GENE2740/GENE1004/GENE2690/GENE1930/GENE1675/GENE2109/GENE0961/GENE1919/GENE0622/GENE2940/GENE2026/GENE0404/GENE1339/GENE1644/GENE0791/GENE1332/GENE2685/GENE0395/GENE1337/GENE0070/GENE0450/GENE2227/GENE1375/GENE0592/GENE0418/GENE1935/GENE0744/GENE2663/GENE1866/GENE1993/GENE0220/GENE1560/GENE1697/GENE2062/GENE1463/GENE2193/GENE1321/GENE2378/GENE2780/GENE1741/GENE1846/GENE0753/GENE0556/GENE2826/GENE1690/GENE1436/GENE1505/GENE2112/GENE0219/GENE2622/GENE1172/GENE1204/GENE2484/GENE2038/GENE1669/GENE1104/GENE2235/GENE1336/GENE2233/GENE1264/GENE0988/GENE2782/GENE1361/GENE2116/GENE1239/GENE2725/GENE1091/GENE0645/GENE1620/GENE2591/GENE1212/GENE1803/GENE1650/GENE1196/GENE0774/GENE1080/GENE0246/GENE1760/GENE0909/GENE2127/GENE0843/GENE0490/GENE1117/GENE2366/GENE1419/GENE1699/GENE1299/GENE2489/GENE0979/GENE2618/GENE2607/GENE0685/GENE2778/GENE0140/GENE0480/GENE1571/GENE2242/GENE0262/GENE1814/GENE1272/GENE0865/GENE1430/GENE1460/GENE0618/GENE2033/GENE2120/GENE1707/GENE2285/GENE1949/GENE0036/GENE1723/GENE2713/GENE1238/GENE1592/GENE0048/GENE2167/GENE1891/GENE0566/GENE1333/GENE0882/GENE2803/GENE2720/GENE0897/GENE1756/GENE1516/GENE2488/GENE2526/GENE0308/GENE2264/GENE0745/GENE2693/GENE0873/GENE2211/GENE0886/GENE0839/GENE0488/GENE2542/GENE0405/GENE0255/GENE1827/GENE2475/GENE0368/GENE1706/GENE2263/GENE0391/GENE2981/GENE1166/GENE0931/GENE0384/GENE0664/GENE2999/GENE0653/GENE2827/GENE2875/GENE2096/GENE2202/GENE2962/GENE1805/GENE1655/GENE2088/GENE0271/GENE0555/GENE1618/GENE1695/GENE1622/GENE1755/GENE0989/GENE0524/GENE1423/GENE1677/GENE0349/GENE2668/GENE0150/GENE1481/GENE1066/GENE1158/GENE2205/GENE1578/GENE0465/GENE1317/GENE2199/GENE2561/GENE0663/GENE0944/GENE2871/GENE2018/GENE2082/GENE2701/GENE2933/GENE2755/GENE1214/TNF/GENE2602/GENE0636/GENE1176/GENE0311/GENE1035/GENE0751/GENE1504/GENE2676/GENE0786/GENE1716/GENE2063/GENE1250/GENE2681/GENE1306/GENE0190/GENE2984/GENE1500/GENE1747/GENE0258/GENE1743/GENE0600/GENE1845/GENE2068/GENE1701/GENE0134/GENE1758/GENE1124/GENE1005/GENE1357/GENE1411/GENE1114/GENE2583/GENE0521/GENE0303/GENE1119/GENE1927/GENE2568/GENE1029/GENE0719/GENE2898/GENE2197/GENE0269/GENE0733/GENE0088/GENE2275/GENE0235/GENE0135/GENE1349/GENE1307/GENE1167/GENE1517/GENE2628/GENE2620/GENE0268/GENE2332/GENE2915/GENE2253/GENE2564/GENE2258/GENE2917/GENE1400/GENE1577/GENE2516/GENE1546/GENE0858/GENE1207/GENE1477/GENE0174/GENE2696/GENE1787/GENE1886/GENE1146
